1,9,3,4
2,13,18,8
3,9,6,8
4,20,13,4
5,17,7,20
6,21,11,19
7,21,17,10
8,1,1,16
9,17,18,13
10,20,18,5
11,13,13,15
12,9,7,13
13,20,17,21
14,12,17,7
15,4,7,14
16,3,1,18
17,6,15,11
18,18,19,11
19,14,13,12
20,3,15,11
21,21,6,3
22,4,21,4
23,21,6,17
24,10,13,8
25,13,17,14
26,12,9,10
27,1,10,3
28,1,5,10
29,17,17,2
30,5,4,15
31,4,19,20
32,12,3,13
33,18,3,19
34,9,10,7
35,15,18,1
36,12,4,16
37,4,2,9
38,19,21,7
39,7,19,10
40,4,9,21
41,12,17,1
42,11,18,10
43,14,14,14
44,18,15,20
45,4,13,10
46,16,3,13
47,13,20,11
48,2,9,16
49,17,20,19
50,4,5,5
51,5,16,5
52,18,1,1
53,9,21,20
54,20,7,3
55,13,11,9
56,18,11,12
57,15,7,19
58,2,9,6
59,6,5,2
60,9,20,20
61,14,13,6
62,14,14,4
63,19,19,12
64,10,21,4
65,18,15,11
66,5,9,21
67,17,21,16
68,60,45,44
69,58,30,42
70,30,33,46
71,43,34,30
72,58,22,43
73,56,44,46
74,52,59,44
75,53,37,56
76,56,34,33
77,42,49,37
78,44,44,46
79,40,42,56
80,62,48,43
81,26,59,61
82,25,41,37
83,47,23,41
84,31,30,49
85,40,28,27
86,43,40,46
87,32,45,27
88,37,50,61
89,26,61,26
90,22,43,29
91,41,30,55
92,58,52,48
93,36,25,42
94,49,24,62
95,62,60,47
96,27,25,61
97,37,31,39
98,29,35,42
99,48,27,31
100,59,25,32
101,59,32,37
102,34,54,34
103,28,61,49
104,29,61,42
105,54,45,29
106,29,31,25
107,38,51,32
108,36,27,51
109,46,56,34
110,39,37,24
111,73,67,71
112,66,71,64
113,69,68,64
114,68,70,63
115,63,72,69
116,63,65,72
117,67,69,63
118,66,65,66
119,63,65,69
120,72,67,70
121,70,70,64
122,66,68,72
123,71,66,68
124,71,66,72
125,73,73,68
126,65,66,63
127,66,64,69
128,72,73,73
129,65,70,63
130,63,65,63
131,72,64,63
132,64,69,65
133,66,63,69
134,73,71,64
135,65,63,67
136,68,66,71
137,69,67,69
138,71,66,70
139,71,68,64
140,67,69,69
141,70,69,72
142,70,64,72
143,72,66,64
144,65,65,70
145,69,63,68
146,65,73,69
147,64,64,68
148,66,65,69
149,63,67,73
150,70,69,66
151,64,73,65
152,69,63,69
153,64,72,63
154,66,70,68
155,72,64,73
156,67,67,68
157,66,71,65
158,72,65,73
159,66,64,72
160,63,70,67
161,63,70,66
162,69,68,70
163,68,67,70
164,72,71,71
165,64,64,68
166,71,70,65
167,67,67,64
168,69,68,70
169,71,73,69
170,68,72,71
171,66,68,64
172,72,68,70
173,69,68,68
174,71,67,71
175,67,64,64
176,65,66,71
177,63,67,71
178,69,67,71
179,64,68,65
180,65,70,69
181,65,71,70
182,66,73,72
183,69,73,73
184,66,67,70
185,73,72,64
186,67,72,67
187,70,72,63
188,73,69,63
189,71,73,65
190,66,72,69
191,66,69,66
192,67,64,72
193,72,72,73
194,70,72,70
195,71,63,69
196,70,71,71
197,72,64,73
198,64,68,72
199,72,64,65
200,64,70,70
201,68,67,66
202,68,66,66
203,68,68,70
204,72,63,68
205,65,65,65
206,69,66,68
207,69,63,73
208,68,63,73
209,72,63,69
210,63,69,70
211,66,69,67
212,69,69,73
213,71,70,73
214,66,65,68
215,67,65,69
216,65,72,70
217,69,67,64
218,63,71,71
219,70,68,67
220,63,70,73
221,71,67,72
222,73,67,73
223,66,68,72
224,69,67,64
225,73,65,73
226,63,66,73
227,68,64,71
228,63,71,68
229,69,70,68
230,68,64,72
231,67,67,73
232,71,66,70
233,65,65,64
234,66,65,66
235,66,68,72
236,71,71,73
237,71,69,65
238,69,64,72
239,73,67,70
240,69,70,63
241,69,67,64
