1,6,17,2,15,3
2,7,2,4,18,11
3,6,6,9,2,4
4,13,2,7,16,17
5,19,9,3,15,21
6,9,17,1,15,12
7,8,15,16,15,20
8,7,12,8,8,3
9,9,10,2,13,16
10,18,11,21,17,13
11,15,20,12,16,12
12,21,9,3,21,9
13,16,6,1,10,18
14,16,16,13,19,17
15,4,8,2,20,9
16,19,21,17,21,10
17,6,14,9,3,18
18,18,12,14,20,5
19,15,14,18,21,13
20,18,1,18,6,6
21,6,1,4,1,14
22,10,10,8,10,1
23,18,12,4,11,13
24,9,13,9,8,20
25,2,5,20,20,10
26,14,21,15,1,18
27,8,19,16,2,18
28,7,11,1,5,1
29,18,3,3,21,3
30,14,9,9,5,20
31,11,17,13,4,7
32,17,1,9,15,13
33,11,6,16,7,9
34,2,11,6,1,5
35,10,21,14,11,10
36,6,6,7,18,4
37,9,16,20,11,1
38,12,11,17,12,16
39,7,17,14,11,14
40,18,6,12,19,1
41,20,6,16,14,14
